# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
9.035989642143249512e-01 9.085457324981689453e-01 8.875561952590942383e-01 7.600000000000000089e-01 8.125937031484258277e-01 6.000000000000000000e+00 1.900000000000000000e+01 7.711442786069652167e-01
9.058483242988586426e-01 8.725637197494506836e-01 8.770614862442016602e-01 7.700000000000000178e-01 8.065967016491754071e-01 6.000000000000000000e+00 1.500000000000000000e+01 7.263681592039801238e-01
9.016709327697753906e-01 9.190405011177062988e-01 8.920539617538452148e-01 7.900000000000000355e-01 8.050974512743628297e-01 5.000000000000000000e+00 1.700000000000000000e+01 6.666666666666666297e-01
8.920308351516723633e-01 8.785607218742370605e-01 8.890554904937744141e-01 8.000000000000000444e-01 8.605697151424287483e-01 9.000000000000000000e+00 2.700000000000000000e+01 6.965174129353234322e-01
8.910668492317199707e-01 9.100449681282043457e-01 8.770614862442016602e-01 8.199999999999999512e-01 8.890554722638680518e-01 1.000000000000000000e+01 4.100000000000000000e+01 7.711442786069652167e-01
8.929948806762695312e-01 9.025487303733825684e-01 8.875561952590942383e-01 7.900000000000000355e-01 7.706146926536732167e-01 3.000000000000000000e+00 7.000000000000000000e+00 7.064676616915422924e-01
9.032776355743408203e-01 8.980509638786315918e-01 8.905547261238098145e-01 7.600000000000000089e-01 8.275862068965517127e-01 6.000000000000000000e+00 2.900000000000000000e+01 7.512437810945273853e-01
8.987789154052734375e-01 9.115442037582397461e-01 8.860569596290588379e-01 7.399999999999999911e-01 7.961019490254872544e-01 5.000000000000000000e+00 1.300000000000000000e+01 7.213930348258706937e-01
8.994215726852416992e-01 8.995501995086669922e-01 8.905547261238098145e-01 8.699999999999999956e-01 9.070464767616192026e-01 9.000000000000000000e+00 4.700000000000000000e+01 8.109452736318407684e-01
8.917095065116882324e-01 8.980509638786315918e-01 8.830584883689880371e-01 8.299999999999999600e-01 9.010494752623687820e-01 8.000000000000000000e+00 4.100000000000000000e+01 7.611940298507462455e-01
9.029563069343566895e-01 8.980509638786315918e-01 8.710644841194152832e-01 7.700000000000000178e-01 8.455772113943028634e-01 8.000000000000000000e+00 3.500000000000000000e+01 7.114427860696517225e-01
9.161310791969299316e-01 9.265367388725280762e-01 8.950524926185607910e-01 7.900000000000000355e-01 8.590704647676161709e-01 1.200000000000000000e+01 4.500000000000000000e+01 7.810945273631840768e-01
8.431876897811889648e-01 8.590704798698425293e-01 8.485757112503051758e-01 8.599999999999999867e-01 9.370314842578710834e-01 1.400000000000000000e+01 8.100000000000000000e+01 8.009950248756219082e-01
8.888174891471862793e-01 8.890554904937744141e-01 9.070464968681335449e-01 8.299999999999999600e-01 8.785607196401798991e-01 1.100000000000000000e+01 3.700000000000000000e+01 7.960199004975124781e-01
9.042416214942932129e-01 9.145427346229553223e-01 8.830584883689880371e-01 8.000000000000000444e-01 8.020989505247376750e-01 5.000000000000000000e+00 1.300000000000000000e+01 8.059701492537313383e-01
8.913881778717041016e-01 9.145427346229553223e-01 9.055472016334533691e-01 7.900000000000000355e-01 8.335832083958021332e-01 4.000000000000000000e+00 1.500000000000000000e+01 6.915422885572138911e-01
