# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000444e-01 8.958333333333333703e-01 3.000000000000000000e+00 7.000000000000000000e+00 8.000000000000000444e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 8.699999999999999956e-01 9.375000000000000000e-01 6.000000000000000000e+00 1.700000000000000000e+01 8.000000000000000444e-01
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 4.699999999999999734e-01 8.333333333333333703e-01 7.000000000000000000e+00 2.100000000000000000e+01 5.999999999999999778e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 7.299999999999999822e-01 9.166666666666666297e-01 5.000000000000000000e+00 1.500000000000000000e+01 4.000000000000000222e-01
1.000000000000000000e+00 9.687500000000000000e-01 9.791666865348815918e-01 8.000000000000000444e-01 8.333333333333333703e-01 2.000000000000000000e+00 5.000000000000000000e+00 5.333333333333333259e-01
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.699999999999999956e-01 9.583333333333333703e-01 4.000000000000000000e+00 1.300000000000000000e+01 6.666666666666666297e-01
1.000000000000000000e+00 9.375000000000000000e-01 9.791666865348815918e-01 5.999999999999999778e-01 8.750000000000000000e-01 4.000000000000000000e+00 1.500000000000000000e+01 6.666666666666666297e-01
1.000000000000000000e+00 1.000000000000000000e+00 9.791666865348815918e-01 6.700000000000000400e-01 8.750000000000000000e-01 3.000000000000000000e+00 7.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 9.687500000000000000e-01 1.000000000000000000e+00 6.700000000000000400e-01 7.291666666666666297e-01 2.000000000000000000e+00 5.000000000000000000e+00 4.000000000000000222e-01
9.750000238418579102e-01 1.000000000000000000e+00 1.000000000000000000e+00 8.699999999999999956e-01 8.750000000000000000e-01 2.000000000000000000e+00 5.000000000000000000e+00 8.000000000000000444e-01
9.916666746139526367e-01 9.375000000000000000e-01 9.791666865348815918e-01 6.700000000000000400e-01 8.750000000000000000e-01 5.000000000000000000e+00 1.500000000000000000e+01 6.666666666666666297e-01
