# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
9.892566800117492676e-01 9.391068816184997559e-01 9.268292784690856934e-01 7.800000000000000266e-01 7.804878048780488076e-01 3.000000000000000000e+00 7.000000000000000000e+00 7.702702702702702853e-01
8.742740750312805176e-01 8.579161167144775391e-01 8.252032399177551270e-01 8.699999999999999956e-01 8.753387533875338633e-01 6.000000000000000000e+00 2.300000000000000000e+01 8.603603603603603434e-01
9.759001135826110840e-01 9.242219328880310059e-01 9.146341681480407715e-01 8.199999999999999512e-01 8.048780487804878536e-01 4.000000000000000000e+00 1.100000000000000000e+01 7.927927927927927998e-01
9.869338274002075195e-01 9.309878349304199219e-01 9.363143444061279297e-01 7.800000000000000266e-01 7.845528455284552782e-01 2.000000000000000000e+00 5.000000000000000000e+00 7.882882882882883413e-01
9.846109151840209961e-01 9.404600858688354492e-01 9.186992049217224121e-01 7.900000000000000355e-01 9.159891598915989031e-01 1.600000000000000000e+01 1.070000000000000000e+02 7.882882882882883413e-01
9.471544623374938965e-01 9.025710225105285645e-01 9.092140793800354004e-01 7.700000000000000178e-01 7.804878048780488076e-01 3.000000000000000000e+00 7.000000000000000000e+00 7.207207207207206867e-01
9.930313825607299805e-01 9.309878349304199219e-01 9.336043596267700195e-01 8.100000000000000533e-01 8.414634146341463117e-01 8.000000000000000000e+00 2.500000000000000000e+01 7.927927927927927998e-01
9.735772609710693359e-01 9.269282817840576172e-01 9.200541973114013672e-01 8.199999999999999512e-01 9.430894308943089666e-01 1.300000000000000000e+01 1.690000000000000000e+02 7.342342342342342842e-01
9.889663457870483398e-01 9.269282817840576172e-01 9.512194991111755371e-01 8.100000000000000533e-01 7.994579945799458187e-01 3.000000000000000000e+00 7.000000000000000000e+00 8.423423423423422873e-01
9.700928926467895508e-01 9.120432734489440918e-01 9.119241237640380859e-01 8.199999999999999512e-01 8.983739837398373451e-01 1.200000000000000000e+01 7.500000000000000000e+01 8.333333333333333703e-01
9.930313825607299805e-01 9.472259879112243652e-01 9.268292784690856934e-01 7.800000000000000266e-01 7.953929539295393480e-01 5.000000000000000000e+00 1.500000000000000000e+01 8.063063063063062863e-01
9.889663457870483398e-01 9.526386857032775879e-01 9.214091897010803223e-01 7.399999999999999911e-01 7.710027100271003020e-01 3.000000000000000000e+00 7.000000000000000000e+00 7.477477477477477708e-01
9.573170542716979980e-01 8.809201717376708984e-01 9.037940502166748047e-01 7.500000000000000000e-01 7.560975609756097615e-01 2.000000000000000000e+00 5.000000000000000000e+00 7.522522522522522292e-01
8.812427520751953125e-01 8.254398107528686523e-01 8.360433578491210938e-01 8.199999999999999512e-01 8.292682926829267887e-01 3.000000000000000000e+00 9.000000000000000000e+00 8.153153153153153143e-01
9.962252974510192871e-01 9.228687286376953125e-01 9.132791161537170410e-01 8.000000000000000444e-01 8.184281842818428299e-01 7.000000000000000000e+00 2.500000000000000000e+01 6.936936936936937137e-01
9.895470142364501953e-01 9.025710225105285645e-01 8.983739614486694336e-01 7.099999999999999645e-01 8.102981029810297775e-01 1.000000000000000000e+01 3.700000000000000000e+01 7.162162162162162282e-01
8.864692449569702148e-01 8.525033593177795410e-01 8.482384681701660156e-01 8.100000000000000533e-01 8.143631436314363592e-01 4.000000000000000000e+00 1.100000000000000000e+01 7.747747747747747438e-01
9.308943152427673340e-01 8.890392184257507324e-01 8.753387331962585449e-01 8.000000000000000444e-01 8.902439024390244038e-01 1.300000000000000000e+01 7.700000000000000000e+01 7.477477477477477708e-01
9.413472414016723633e-01 8.728010654449462891e-01 8.821138143539428711e-01 7.700000000000000178e-01 8.102981029810297775e-01 4.000000000000000000e+00 9.000000000000000000e+00 7.522522522522522292e-01
9.930313825607299805e-01 9.215155839920043945e-01 9.485095143318176270e-01 7.399999999999999911e-01 8.035230352303522894e-01 8.000000000000000000e+00 2.700000000000000000e+01 7.297297297297297147e-01
9.651567935943603516e-01 9.282814860343933105e-01 9.173441529273986816e-01 8.000000000000000444e-01 7.967479674796748013e-01 5.000000000000000000e+00 1.700000000000000000e+01 7.747747747747747438e-01
9.912891983985900879e-01 9.418132901191711426e-01 9.308943152427673340e-01 7.900000000000000355e-01 8.821138211382113514e-01 1.000000000000000000e+01 6.700000000000000000e+01 7.747747747747747438e-01
9.793844223022460938e-01 9.255750775337219238e-01 9.322493076324462891e-01 7.700000000000000178e-01 8.170731707317072656e-01 6.000000000000000000e+00 2.500000000000000000e+01 7.837837837837837718e-01
9.918699264526367188e-01 9.458727836608886719e-01 9.498645067214965820e-01 8.100000000000000533e-01 8.631436314363143403e-01 1.100000000000000000e+01 3.500000000000000000e+01 7.522522522522522292e-01
9.828687310218811035e-01 9.147496819496154785e-01 9.457994699478149414e-01 7.700000000000000178e-01 8.252032520325203180e-01 9.000000000000000000e+00 3.500000000000000000e+01 6.981981981981981722e-01
9.616724848747253418e-01 9.012178778648376465e-01 9.173441529273986816e-01 7.800000000000000266e-01 7.994579945799458187e-01 5.000000000000000000e+00 1.300000000000000000e+01 7.477477477477477708e-01
9.921602606773376465e-01 9.282814860343933105e-01 9.322493076324462891e-01 8.000000000000000444e-01 8.062330623306233068e-01 4.000000000000000000e+00 1.100000000000000000e+01 7.252252252252252562e-01
9.950639009475708008e-01 9.485791325569152832e-01 9.268292784690856934e-01 8.199999999999999512e-01 8.062330623306233068e-01 4.000000000000000000e+00 1.100000000000000000e+01 7.567567567567567988e-01
9.869338274002075195e-01 9.431664347648620605e-01 9.403793811798095703e-01 8.299999999999999600e-01 8.157181571815718124e-01 5.000000000000000000e+00 1.100000000000000000e+01 8.108108108108108558e-01
9.912891983985900879e-01 9.309878349304199219e-01 9.336043596267700195e-01 7.099999999999999645e-01 8.550135501355013989e-01 1.000000000000000000e+01 7.900000000000000000e+01 7.252252252252252562e-01
9.494773745536804199e-01 9.228687286376953125e-01 8.915989398956298828e-01 8.299999999999999600e-01 8.482384823848237998e-01 6.000000000000000000e+00 2.300000000000000000e+01 7.747747747747747438e-01
9.555749297142028809e-01 8.863328695297241211e-01 8.929539322853088379e-01 7.700000000000000178e-01 8.902439024390244038e-01 1.300000000000000000e+01 9.300000000000000000e+01 7.522522522522522292e-01
9.512194991111755371e-01 9.228687286376953125e-01 9.200541973114013672e-01 8.100000000000000533e-01 8.252032520325203180e-01 6.000000000000000000e+00 1.700000000000000000e+01 7.297297297297297147e-01
9.671893119812011719e-01 9.133964776992797852e-01 9.105691313743591309e-01 7.500000000000000000e-01 9.078590785907859617e-01 1.800000000000000000e+01 1.250000000000000000e+02 7.027027027027027417e-01
6.303716897964477539e-01 6.332882046699523926e-01 6.192411780357360840e-01 9.300000000000000488e-01 9.728997289972899365e-01 8.000000000000000000e+00 4.100000000000000000e+01 9.324324324324324564e-01
9.840301871299743652e-01 9.391068816184997559e-01 9.254742264747619629e-01 7.700000000000000178e-01 8.414634146341463117e-01 8.000000000000000000e+00 3.300000000000000000e+01 7.972972972972972583e-01
9.581881761550903320e-01 8.998646736145019531e-01 8.983739614486694336e-01 7.700000000000000178e-01 7.777777777777777901e-01 4.000000000000000000e+00 1.100000000000000000e+01 6.846846846846846857e-01
9.547038078308105469e-01 9.066305756568908691e-01 9.092140793800354004e-01 7.900000000000000355e-01 8.536585365853658347e-01 6.000000000000000000e+00 4.100000000000000000e+01 7.882882882882883413e-01
9.639953374862670898e-01 8.849797248840332031e-01 8.915989398956298828e-01 8.199999999999999512e-01 8.726287262872628459e-01 9.000000000000000000e+00 3.700000000000000000e+01 7.972972972972972583e-01
9.799651503562927246e-01 9.255750775337219238e-01 9.200541973114013672e-01 8.000000000000000444e-01 7.967479674796748013e-01 4.000000000000000000e+00 9.000000000000000000e+00 8.018018018018018278e-01
9.419279694557189941e-01 9.106901288032531738e-01 9.132791161537170410e-01 8.000000000000000444e-01 8.455284552845528934e-01 8.000000000000000000e+00 3.300000000000000000e+01 7.477477477477477708e-01
9.663182497024536133e-01 9.188091754913330078e-01 9.295393228530883789e-01 7.199999999999999734e-01 7.804878048780488076e-01 5.000000000000000000e+00 1.500000000000000000e+01 6.396396396396396566e-01
9.753193855285644531e-01 9.242219328880310059e-01 8.780487775802612305e-01 7.199999999999999734e-01 8.075880758807587601e-01 8.000000000000000000e+00 3.900000000000000000e+01 7.567567567567567988e-01
9.843205809593200684e-01 9.188091754913330078e-01 9.403793811798095703e-01 8.000000000000000444e-01 8.672086720867209220e-01 9.000000000000000000e+00 5.100000000000000000e+01 7.567567567567567988e-01
9.250870943069458008e-01 8.714479207992553711e-01 8.604335784912109375e-01 8.499999999999999778e-01 8.848238482384823689e-01 1.300000000000000000e+01 5.100000000000000000e+01 8.423423423423422873e-01
9.930313825607299805e-01 9.418132901191711426e-01 9.336043596267700195e-01 7.700000000000000178e-01 8.360433604336043878e-01 7.000000000000000000e+00 3.100000000000000000e+01 7.702702702702702853e-01
9.904181361198425293e-01 9.458727836608886719e-01 9.471544623374938965e-01 7.500000000000000000e-01 9.037940379403793800e-01 1.500000000000000000e+01 1.130000000000000000e+02 7.027027027027027417e-01
9.793844223022460938e-01 9.296346306800842285e-01 9.295393228530883789e-01 8.000000000000000444e-01 8.590785907859078696e-01 9.000000000000000000e+00 4.300000000000000000e+01 7.477477477477477708e-01
9.886759519577026367e-01 9.269282817840576172e-01 9.214091897010803223e-01 7.700000000000000178e-01 8.631436314363143403e-01 1.000000000000000000e+01 5.500000000000000000e+01 7.522522522522522292e-01
9.695122241973876953e-01 9.309878349304199219e-01 9.254742264747619629e-01 8.000000000000000444e-01 8.604336043360433228e-01 8.000000000000000000e+00 4.100000000000000000e+01 7.387387387387387427e-01
9.944831728935241699e-01 9.309878349304199219e-01 9.227642416954040527e-01 7.600000000000000089e-01 8.265582655826557712e-01 1.000000000000000000e+01 3.900000000000000000e+01 7.837837837837837718e-01
9.535424113273620605e-01 9.012178778648376465e-01 9.146341681480407715e-01 8.000000000000000444e-01 8.130081300813007950e-01 6.000000000000000000e+00 1.700000000000000000e+01 7.792792792792793133e-01
9.947735071182250977e-01 9.269282817840576172e-01 9.186992049217224121e-01 8.000000000000000444e-01 7.872628726287262957e-01 4.000000000000000000e+00 1.100000000000000000e+01 7.702702702702702853e-01
9.738675951957702637e-01 9.174560308456420898e-01 9.241192340850830078e-01 7.900000000000000355e-01 8.495934959349593640e-01 1.000000000000000000e+01 4.500000000000000000e+01 7.702702702702702853e-01
9.956446290016174316e-01 9.445196390151977539e-01 9.336043596267700195e-01 7.700000000000000178e-01 8.536585365853658347e-01 1.200000000000000000e+01 5.300000000000000000e+01 7.612612612612612573e-01
9.715447425842285156e-01 9.228687286376953125e-01 9.132791161537170410e-01 8.199999999999999512e-01 8.089430894308943243e-01 3.000000000000000000e+00 9.000000000000000000e+00 8.018018018018018278e-01
9.506387710571289062e-01 8.876860737800598145e-01 9.051490426063537598e-01 7.600000000000000089e-01 8.902439024390244038e-01 1.000000000000000000e+01 7.700000000000000000e+01 8.018018018018018278e-01
9.506387710571289062e-01 8.863328695297241211e-01 8.753387331962585449e-01 7.399999999999999911e-01 8.631436314363143403e-01 1.000000000000000000e+01 7.700000000000000000e+01 6.936936936936937137e-01
9.796748161315917969e-01 9.242219328880310059e-01 9.241192340850830078e-01 7.600000000000000089e-01 7.886178861788617489e-01 6.000000000000000000e+00 1.500000000000000000e+01 7.387387387387387427e-01
9.930313825607299805e-01 9.255750775337219238e-01 9.281842708587646484e-01 7.800000000000000266e-01 8.943089430894308745e-01 1.600000000000000000e+01 1.010000000000000000e+02 7.432432432432432012e-01
9.941927790641784668e-01 9.350473880767822266e-01 9.241192340850830078e-01 8.000000000000000444e-01 8.401084010840108585e-01 1.000000000000000000e+01 3.300000000000000000e+01 7.882882882882883413e-01
9.651567935943603516e-01 9.079837799072265625e-01 8.983739614486694336e-01 7.800000000000000266e-01 8.780487804878048808e-01 1.000000000000000000e+01 6.100000000000000000e+01 7.567567567567567988e-01
9.689314961433410645e-01 8.944519758224487305e-01 9.051490426063537598e-01 7.800000000000000266e-01 8.441734417344173291e-01 1.000000000000000000e+01 3.500000000000000000e+01 7.972972972972972583e-01
6.216608881950378418e-01 6.211096048355102539e-01 6.138211488723754883e-01 9.200000000000000400e-01 9.756097560975609539e-01 8.000000000000000000e+00 4.700000000000000000e+01 9.099099099099099419e-01
9.936120510101318359e-01 9.445196390151977539e-01 9.336043596267700195e-01 7.700000000000000178e-01 8.035230352303522894e-01 1.000000000000000000e+01 2.100000000000000000e+01 7.972972972972972583e-01
9.573170542716979980e-01 9.269282817840576172e-01 9.065040946006774902e-01 7.800000000000000266e-01 9.119241192411924324e-01 1.500000000000000000e+01 1.230000000000000000e+02 7.702702702702702853e-01
9.619628190994262695e-01 9.188091754913330078e-01 9.078590869903564453e-01 7.500000000000000000e-01 8.292682926829267887e-01 7.000000000000000000e+00 2.900000000000000000e+01 7.252252252252252562e-01
8.795005679130554199e-01 8.484438657760620117e-01 8.509485125541687012e-01 8.499999999999999778e-01 8.970189701897018919e-01 6.000000000000000000e+00 2.700000000000000000e+01 9.189189189189189699e-01
9.840301871299743652e-01 9.215155839920043945e-01 9.268292784690856934e-01 8.100000000000000533e-01 7.953929539295393480e-01 7.000000000000000000e+00 1.500000000000000000e+01 7.387387387387387427e-01
9.384436607360839844e-01 8.673883676528930664e-01 8.766937851905822754e-01 8.100000000000000533e-01 8.401084010840108585e-01 4.000000000000000000e+00 1.300000000000000000e+01 8.198198198198197728e-01
9.837398529052734375e-01 9.133964776992797852e-01 9.281842708587646484e-01 8.199999999999999512e-01 8.292682926829267887e-01 7.000000000000000000e+00 2.700000000000000000e+01 8.198198198198197728e-01
