# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
9.688303470611572266e-01 8.770614862442016602e-01 9.100449681282043457e-01 8.299999999999999600e-01 8.890554722638680518e-01 9.000000000000000000e+00 4.500000000000000000e+01 7.611940298507462455e-01
8.997429013252258301e-01 8.425787091255187988e-01 8.200899362564086914e-01 8.399999999999999689e-01 9.025487256371813594e-01 1.500000000000000000e+01 7.700000000000000000e+01 7.462686567164179552e-01
9.813624620437622070e-01 8.965517282485961914e-01 9.010494947433471680e-01 8.000000000000000444e-01 8.620689655172413257e-01 8.000000000000000000e+00 3.700000000000000000e+01 7.263681592039801238e-01
9.707583785057067871e-01 8.635681867599487305e-01 8.830584883689880371e-01 7.800000000000000266e-01 8.425787106446777086e-01 6.000000000000000000e+00 2.100000000000000000e+01 7.661691542288556755e-01
9.379820227622985840e-01 8.530734777450561523e-01 8.500749468803405762e-01 7.600000000000000089e-01 9.190404797601199327e-01 1.300000000000000000e+01 1.450000000000000000e+02 7.064676616915422924e-01
9.829691648483276367e-01 9.190405011177062988e-01 9.115442037582397461e-01 7.700000000000000178e-01 7.601199400299849529e-01 1.000000000000000000e+00 3.000000000000000000e+00 6.666666666666666297e-01
7.776349782943725586e-01 7.511244416236877441e-01 7.361319065093994141e-01 8.900000000000000133e-01 8.980509745127436272e-01 2.000000000000000000e+00 5.000000000000000000e+00 9.402985074626866169e-01
9.932519197463989258e-01 8.995501995086669922e-01 8.815591931343078613e-01 7.500000000000000000e-01 7.781109445277361036e-01 2.000000000000000000e+00 7.000000000000000000e+00 7.363184079601989840e-01
9.826478362083435059e-01 8.950524926185607910e-01 8.920539617538452148e-01 8.000000000000000444e-01 8.680659670164917463e-01 9.000000000000000000e+00 4.500000000000000000e+01 7.313432835820895539e-01
9.675449728965759277e-01 8.800599575042724609e-01 8.635681867599487305e-01 8.299999999999999600e-01 8.170914542728635599e-01 1.000000000000000000e+00 3.000000000000000000e+00 9.054726368159203842e-01
9.517995119094848633e-01 8.395802378654479980e-01 8.725637197494506836e-01 8.199999999999999512e-01 8.500749625187405956e-01 5.000000000000000000e+00 1.500000000000000000e+01 8.109452736318407684e-01
7.130462527275085449e-01 6.821589469909667969e-01 6.896551847457885742e-01 8.599999999999999867e-01 9.415292353823088156e-01 1.200000000000000000e+01 8.300000000000000000e+01 8.258706467661691697e-01
9.865038394927978516e-01 9.130434989929199219e-01 9.085457324981689453e-01 7.600000000000000089e-01 7.556221889055472207e-01 2.000000000000000000e+00 5.000000000000000000e+00 7.412935323383084141e-01
9.823265075683593750e-01 8.935531973838806152e-01 9.145427346229553223e-01 7.800000000000000266e-01 8.410794602698650202e-01 1.100000000000000000e+01 2.500000000000000000e+01 7.512437810945273853e-01
9.328406453132629395e-01 8.485757112503051758e-01 8.335832357406616211e-01 8.100000000000000533e-01 8.125937031484258277e-01 4.000000000000000000e+00 1.300000000000000000e+01 8.805970149253731227e-01
9.640102982521057129e-01 8.575711846351623535e-01 8.680659532546997070e-01 7.800000000000000266e-01 8.470764617691154408e-01 7.000000000000000000e+00 2.900000000000000000e+01 7.164179104477611526e-01
9.681876897811889648e-01 8.725637197494506836e-01 8.770614862442016602e-01 8.299999999999999600e-01 8.125937031484258277e-01 1.000000000000000000e+00 3.000000000000000000e+00 9.054726368159203842e-01
8.187660574913024902e-01 7.841079235076904297e-01 7.976012229919433594e-01 9.399999999999999467e-01 9.670164917541229643e-01 9.000000000000000000e+00 3.900000000000000000e+01 9.552238805970149071e-01
9.717223644256591797e-01 8.800599575042724609e-01 8.935531973838806152e-01 7.700000000000000178e-01 8.335832083958021332e-01 6.000000000000000000e+00 2.700000000000000000e+01 6.666666666666666297e-01
9.778277873992919922e-01 8.635681867599487305e-01 8.815591931343078613e-01 8.100000000000000533e-01 9.340329835082459287e-01 1.300000000000000000e+01 1.290000000000000000e+02 7.512437810945273853e-01
8.303341865539550781e-01 8.125936985015869141e-01 7.901049256324768066e-01 9.200000000000000400e-01 9.625187406296851211e-01 1.200000000000000000e+01 5.100000000000000000e+01 8.955223880597015240e-01
9.800771474838256836e-01 8.995501995086669922e-01 9.040479660034179688e-01 7.700000000000000178e-01 8.845577211394303196e-01 8.000000000000000000e+00 4.700000000000000000e+01 7.114427860696517225e-01
7.278277873992919922e-01 7.271364331245422363e-01 6.866566538810729980e-01 9.399999999999999467e-01 9.385307346326836608e-01 2.000000000000000000e+00 7.000000000000000000e+00 9.452736318407960470e-01
9.881105422973632812e-01 9.130434989929199219e-01 9.070464968681335449e-01 7.900000000000000355e-01 8.290854572713642900e-01 6.000000000000000000e+00 1.500000000000000000e+01 6.567164179104477695e-01
9.222365021705627441e-01 8.380809426307678223e-01 8.455772399902343750e-01 8.299999999999999600e-01 8.170914542728635599e-01 1.000000000000000000e+00 3.000000000000000000e+00 9.402985074626866169e-01
9.877892136573791504e-01 8.785607218742370605e-01 9.010494947433471680e-01 7.700000000000000178e-01 9.055472263868066252e-01 1.200000000000000000e+01 9.500000000000000000e+01 7.412935323383084141e-01
9.485861063003540039e-01 8.590704798698425293e-01 8.485757112503051758e-01 8.299999999999999600e-01 8.455772113943028634e-01 4.000000000000000000e+00 1.100000000000000000e+01 8.109452736318407684e-01
9.714010357856750488e-01 8.710644841194152832e-01 8.755621910095214844e-01 7.500000000000000000e-01 8.650674662668665915e-01 9.000000000000000000e+00 5.900000000000000000e+01 7.761194029850746468e-01
8.759639859199523926e-01 8.365817070007324219e-01 8.125936985015869141e-01 8.599999999999999867e-01 8.875562218890554744e-01 5.000000000000000000e+00 1.500000000000000000e+01 9.203980099502487855e-01
9.781491160392761230e-01 8.890554904937744141e-01 8.725637197494506836e-01 7.900000000000000355e-01 8.140929535232384051e-01 4.000000000000000000e+00 1.500000000000000000e+01 8.557213930348258613e-01
9.768637418746948242e-01 8.845577239990234375e-01 8.905547261238098145e-01 8.000000000000000444e-01 8.800599700149924765e-01 6.000000000000000000e+00 3.500000000000000000e+01 7.512437810945273853e-01
9.701156616210937500e-01 8.770614862442016602e-01 8.755621910095214844e-01 8.100000000000000533e-01 8.755622188905547443e-01 9.000000000000000000e+00 4.300000000000000000e+01 7.263681592039801238e-01
9.190231561660766602e-01 8.290854692459106445e-01 8.530734777450561523e-01 7.700000000000000178e-01 8.395802098950524428e-01 7.000000000000000000e+00 2.500000000000000000e+01 7.412935323383084141e-01
9.807198047637939453e-01 8.830584883689880371e-01 8.875561952590942383e-01 7.700000000000000178e-01 8.680659670164917463e-01 1.200000000000000000e+01 5.700000000000000000e+01 6.666666666666666297e-01
9.485861063003540039e-01 8.335832357406616211e-01 8.695651888847351074e-01 8.599999999999999867e-01 8.680659670164917463e-01 7.000000000000000000e+00 1.900000000000000000e+01 9.154228855721393554e-01
9.652956128120422363e-01 8.695651888847351074e-01 8.740629553794860840e-01 7.500000000000000000e-01 9.250374812593703533e-01 1.600000000000000000e+01 1.490000000000000000e+02 7.462686567164179552e-01
9.874678850173950195e-01 9.025487303733825684e-01 8.965517282485961914e-01 7.900000000000000355e-01 8.635682158920540141e-01 1.100000000000000000e+01 5.100000000000000000e+01 7.562189054726368154e-01
9.588689208030700684e-01 8.770614862442016602e-01 8.680659532546997070e-01 8.399999999999999689e-01 8.335832083958021332e-01 5.000000000000000000e+00 1.500000000000000000e+01 8.855721393034825528e-01
9.848971962928771973e-01 8.950524926185607910e-01 8.965517282485961914e-01 8.100000000000000533e-01 8.260869565217391353e-01 8.000000000000000000e+00 2.100000000000000000e+01 7.960199004975124781e-01
9.456940889358520508e-01 8.680659532546997070e-01 8.785607218742370605e-01 8.100000000000000533e-01 8.320839580209895558e-01 2.000000000000000000e+00 5.000000000000000000e+00 9.203980099502487855e-01
7.956297993659973145e-01 7.631184458732604980e-01 7.706146836280822754e-01 8.000000000000000444e-01 8.650674662668665915e-01 1.000000000000000000e+01 3.900000000000000000e+01 7.363184079601989840e-01
9.852185249328613281e-01 8.950524926185607910e-01 8.755621910095214844e-01 8.599999999999999867e-01 8.920539730134932066e-01 1.000000000000000000e+01 4.900000000000000000e+01 8.507462686567164312e-01
9.861825108528137207e-01 8.935531973838806152e-01 9.010494947433471680e-01 7.700000000000000178e-01 8.500749625187405956e-01 9.000000000000000000e+00 3.700000000000000000e+01 7.114427860696517225e-01
9.562981724739074707e-01 8.740629553794860840e-01 8.530734777450561523e-01 8.499999999999999778e-01 8.920539730134932066e-01 8.000000000000000000e+00 3.900000000000000000e+01 8.756218905472636926e-01
9.476221203804016113e-01 8.650674819946289062e-01 8.530734777450561523e-01 7.800000000000000266e-01 8.710644677661169011e-01 8.000000000000000000e+00 4.700000000000000000e+01 7.164179104477611526e-01
9.460154175758361816e-01 8.695651888847351074e-01 8.755621910095214844e-01 8.299999999999999600e-01 8.590704647676161709e-01 7.000000000000000000e+00 2.700000000000000000e+01 7.462686567164179552e-01
9.913238883018493652e-01 8.935531973838806152e-01 9.040479660034179688e-01 8.199999999999999512e-01 8.785607196401798991e-01 8.000000000000000000e+00 5.700000000000000000e+01 7.462686567164179552e-01
9.476221203804016113e-01 8.545727133750915527e-01 8.815591931343078613e-01 7.600000000000000089e-01 8.710644677661169011e-01 1.100000000000000000e+01 5.100000000000000000e+01 7.363184079601989840e-01
9.559768438339233398e-01 8.620689511299133301e-01 8.695651888847351074e-01 8.199999999999999512e-01 8.380809595202398654e-01 4.000000000000000000e+00 1.900000000000000000e+01 8.457711442786070011e-01
9.697943329811096191e-01 8.770614862442016602e-01 8.905547261238098145e-01 8.000000000000000444e-01 7.826086956521739468e-01 1.000000000000000000e+00 3.000000000000000000e+00 8.009950248756219082e-01
9.273778796195983887e-01 8.620689511299133301e-01 8.350824713706970215e-01 8.599999999999999867e-01 9.580209895052473890e-01 1.300000000000000000e+01 1.110000000000000000e+02 8.109452736318407684e-01
9.723650217056274414e-01 8.830584883689880371e-01 8.725637197494506836e-01 7.800000000000000266e-01 8.770614692653673217e-01 1.100000000000000000e+01 6.100000000000000000e+01 7.213930348258706937e-01
9.881105422973632812e-01 8.890554904937744141e-01 8.980509638786315918e-01 7.800000000000000266e-01 9.235382308845577759e-01 1.300000000000000000e+01 1.190000000000000000e+02 7.164179104477611526e-01
9.595115780830383301e-01 8.725637197494506836e-01 8.995501995086669922e-01 8.100000000000000533e-01 9.295352323838080855e-01 1.300000000000000000e+01 9.300000000000000000e+01 7.711442786069652167e-01
9.077763557434082031e-01 8.425787091255187988e-01 8.575711846351623535e-01 8.399999999999999689e-01 8.770614692653673217e-01 7.000000000000000000e+00 1.900000000000000000e+01 8.905472636815920939e-01
9.289845824241638184e-01 8.635681867599487305e-01 8.455772399902343750e-01 8.499999999999999778e-01 8.350824587706147106e-01 2.000000000000000000e+00 5.000000000000000000e+00 8.656716417910447214e-01
9.280205368995666504e-01 8.755621910095214844e-01 8.680659532546997070e-01 8.100000000000000533e-01 8.275862068965517127e-01 3.000000000000000000e+00 1.100000000000000000e+01 8.308457711442785998e-01
9.505141377449035645e-01 8.695651888847351074e-01 8.725637197494506836e-01 8.100000000000000533e-01 8.335832083958021332e-01 4.000000000000000000e+00 1.500000000000000000e+01 8.009950248756219082e-01
9.832904934883117676e-01 8.935531973838806152e-01 8.575711846351623535e-01 8.599999999999999867e-01 9.385307346326836608e-01 1.100000000000000000e+01 9.300000000000000000e+01 7.462686567164179552e-01
9.848971962928771973e-01 8.785607218742370605e-01 8.740629553794860840e-01 7.700000000000000178e-01 9.010494752623687820e-01 1.300000000000000000e+01 8.100000000000000000e+01 7.661691542288556755e-01
9.537274837493896484e-01 8.680659532546997070e-01 8.530734777450561523e-01 8.499999999999999778e-01 8.680659670164917463e-01 4.000000000000000000e+00 1.100000000000000000e+01 9.253731343283582156e-01
8.929948806762695312e-01 8.305847048759460449e-01 8.350824713706970215e-01 8.000000000000000444e-01 8.515742128935531730e-01 7.000000000000000000e+00 2.500000000000000000e+01 7.562189054726368154e-01
9.640102982521057129e-01 8.740629553794860840e-01 8.950524926185607910e-01 7.600000000000000089e-01 8.815592203898050538e-01 9.000000000000000000e+00 5.100000000000000000e+01 7.363184079601989840e-01
8.615038394927978516e-01 7.961019277572631836e-01 7.661169171333312988e-01 9.000000000000000222e-01 9.610194902548725437e-01 1.200000000000000000e+01 9.900000000000000000e+01 8.706467661691542625e-01
9.800771474838256836e-01 8.725637197494506836e-01 8.905547261238098145e-01 7.900000000000000355e-01 8.755622188905547443e-01 9.000000000000000000e+00 5.100000000000000000e+01 7.412935323383084141e-01
9.302698969841003418e-01 8.635681867599487305e-01 8.575711846351623535e-01 8.199999999999999512e-01 8.545727136431784388e-01 4.000000000000000000e+00 1.300000000000000000e+01 9.154228855721393554e-01
9.341259598731994629e-01 8.620689511299133301e-01 8.665667176246643066e-01 8.199999999999999512e-01 8.740629685157421669e-01 6.000000000000000000e+00 2.700000000000000000e+01 8.258706467661691697e-01
7.287917733192443848e-01 7.226386666297912598e-01 7.076461911201477051e-01 9.599999999999999645e-01 9.430284857571213930e-01 4.000000000000000000e+00 1.100000000000000000e+01 9.452736318407960470e-01
