# train_accs, valid_accs, test_accs, dt_accs, fidelities, depths, nodes, robust_score
9.666666388511657715e-01 9.687500000000000000e-01 9.166666865348815918e-01 8.000000000000000444e-01 9.375000000000000000e-01 6.000000000000000000e+00 1.700000000000000000e+01 8.000000000000000444e-01
9.750000238418579102e-01 8.750000000000000000e-01 8.125000000000000000e-01 5.999999999999999778e-01 8.750000000000000000e-01 5.000000000000000000e+00 1.300000000000000000e+01 6.666666666666666297e-01
9.166666865348815918e-01 8.750000000000000000e-01 8.125000000000000000e-01 7.299999999999999822e-01 9.166666666666666297e-01 4.000000000000000000e+00 1.300000000000000000e+01 8.666666666666666963e-01
9.583333134651184082e-01 9.687500000000000000e-01 9.166666865348815918e-01 6.700000000000000400e-01 8.958333333333333703e-01 4.000000000000000000e+00 1.900000000000000000e+01 6.666666666666666297e-01
9.666666388511657715e-01 8.750000000000000000e-01 8.958333134651184082e-01 6.700000000000000400e-01 8.958333333333333703e-01 4.000000000000000000e+00 1.500000000000000000e+01 6.666666666666666297e-01
9.499999880790710449e-01 8.750000000000000000e-01 8.333333134651184082e-01 8.699999999999999956e-01 9.583333333333333703e-01 5.000000000000000000e+00 1.500000000000000000e+01 8.666666666666666963e-01
8.666666746139526367e-01 8.125000000000000000e-01 8.333333134651184082e-01 8.000000000000000444e-01 9.375000000000000000e-01 5.000000000000000000e+00 1.900000000000000000e+01 7.333333333333332815e-01
9.333333373069763184e-01 7.812500000000000000e-01 8.750000000000000000e-01 6.700000000000000400e-01 8.958333333333333703e-01 6.000000000000000000e+00 1.300000000000000000e+01 7.333333333333332815e-01
9.333333373069763184e-01 9.062500000000000000e-01 8.750000000000000000e-01 8.699999999999999956e-01 9.583333333333333703e-01 6.000000000000000000e+00 2.300000000000000000e+01 8.000000000000000444e-01
9.083333611488342285e-01 7.187500000000000000e-01 8.125000000000000000e-01 8.699999999999999956e-01 8.333333333333333703e-01 1.000000000000000000e+00 3.000000000000000000e+00 8.666666666666666963e-01
9.666666388511657715e-01 8.750000000000000000e-01 8.125000000000000000e-01 5.300000000000000266e-01 8.541666666666666297e-01 6.000000000000000000e+00 1.500000000000000000e+01 5.333333333333333259e-01
9.333333373069763184e-01 9.375000000000000000e-01 9.583333134651184082e-01 7.299999999999999822e-01 8.333333333333333703e-01 2.000000000000000000e+00 5.000000000000000000e+00 9.333333333333333481e-01
